GT15-040;GT15-041;1;6 237,00;1
GT15-043;;1;4 990,00;1
GT15-044;;2;4 678,00;
GT15-051;;3;5 301,00;1
GT15-053;;1;4 990,00;1
GT15-057;;1;5 146,00;1
GT15-063;;1;5 146,00;1
GT15-064;;1;5 146,00;1
GT15-065;;1;5 613,00;
GT15-066;;1;5 925,00;
GT15-067;;2;6 549,00;
GT15-070;;1;6 861,00;1
GT15-076;;1;6 549,00;1
GT15-077;;3;5 457,00;1
GT15-086;;2;6 237,00;1
GT15-087;Старое GT17-217;1;4 834,00;1
GT15-092;;2;5 925,00;
GT15-094;;3;6 393,00;1
GT15-096;;1;6 081,00;
GT15-100;;2;6 705,00;1
GT15-104;;3;6 081,00;1
GT16-001;;1;6 081,00;1
GT16-002;;1;6 237,00;1
GT16-005;;4;7 017,00;1
GT17-001;;1;6 237,00;1
GT17-002;;1;5 457,00;
GT17-003;;1;7 173,00;1
GT17-005;;2;5 146,00;1
GT17-007;;1;6 081,00;
GT17-008;;2;5 925,00;1
GT17-011;;2;5 457,00;1
GT17-012;;1;5 613,00;
GT17-013;;1;5 301,00;1
GT17-014;;1;5 613,00;1
GT17-016;;2;6 081,00;1
GT17-017;;1;7 173,00;1
GT17-020;;1;6 081,00;1
GT17-022;;1;5 301,00;1
GT17-024;;1;5 925,00;
GT17-026;;2;6 081,00;1
GT17-028;Старое GT17-083;1;6 861,00;1
GT17-029;;2;5 301,00;1
GT17-030;;1;5 301,00;1
GT17-032;;1;6 081,00;1
GT17-033;;2;6 705,00;1
GT17-042;;1;7 017,00;1
GT17-043;;1;6 705,00;1
GT17-045;;1;8 264,00;1
GT17-047;;2;7 017,00;1
GT17-048;;1;6 861,00;1
GT17-050;;1;7 017,00;1
GT17-051;;1;7 017,00;
GT17-053;;1;7 328,00;
GT17-057;;1;6 393,00;1
GT17-060-1;;1;7 328,00;1
GT17-060-3B;;3;6 081,00;1
GT17-061;;1;7 952,00;1
GT17-063;Заменили на GT17-062;1;6 237,00;
GT17-067;;1;5 301,00;
GT17-073;;15;6 549,00;1
GT17-074;тонкий;13;6 549,00;1
GT17-074-1;толстый;2;6 705,00;1
GT17-079;;2;5 613,00;1
