TN-FLP-S63-1;gt22-053/54-800075;2;1 895,00;;;
B01-002BR;;2;7 108,00;;;
B01-004BR;;3;7 266,00;;;
B01-010BR;;1;6 792,00;;;
B01-015BR;;1;7 898,00;;;
B03-003B;;1;8 687,00;;;
B1-004;;1;8 213,00;;;
B2-026B;;1;11 846,00;;;
B2-028;;1;10 741,00;;;
B2-057;;1;11 372,00;;;
B3-001;;2;16 269,00;;;
B3-011B;;1;16 111,00;;;
BM-004B;;2;7 108,00;;;
BV40-006B;;1;7 740,00;;;
BV40-008B;;1;7 740,00;;;
BV70-000B;;2;24 798,00;;;
CT12-000;;1;8 055,00;;;
CT12-002;;2;6 634,00;;;
CT12-003;;1;7 582,00;;;
CT16-000;;2;5 528,00;;;
CT16-004;;2;6 318,00;;;
CT20-006;;1;8 529,00;;;
CT26-002;;1;8 371,00;;;
GT12-000;;1;6 002,00;;;
GT12-033B;;1;6 792,00;;;
GT12-043BR;;2;7 108,00;;;
GT12-045B;;2;7 740,00;;;
GT12-059B;;1;7 424,00;;;
GT14-012;;1;5 844,00;;;
GT14-015;;1;6 160,00;;;
GT14-022;;2;7 424,00;;;
GT14-031;;1;6 792,00;;;
GT14-033B;;3;7 898,00;;;
GT14-049B;;1;8 055,00;;;
GT14-051B;;1;7 424,00;;;
GT14-055B;;2;8 529,00;;;
GT14-087BR;;3;7 424,00;;;
GT15-002;;1;4 739,00;;;
GT15-005;;1;5 212,00;;;
GT15-006;;2;5 844,00;;;
GT15-013;;1;4 739,00;;;
GT15-024-1;;1;5 686,00;;;
GT15-037;;1;6 950,00;;;
GT15-040;GT15-041;1;6 318,00;;;
GT15-043;;1;5 054,00;;;
GT15-057;;1;5 212,00;;;
GT15-065;;1;5 686,00;;;
GT15-096;;1;6 160,00;;;
GT15-112B;;1;6 634,00;;;
GT16-001;;1;6 160,00;;;
GT16-005;;1;7 108,00;;;
GT17-003;;1;7 266,00;;;
GT17-007;;1;6 160,00;;;
GT17-013;;2;5 370,00;;;
GT17-016;;1;6 160,00;;;
GT17-024;;1;6 002,00;;;
GT17-032;;1;6 160,00;;;
GT17-033;;3;6 792,00;;;
GT17-042;;1;7 108,00;;;
GT17-063;Заменили на GT17-062;1;6 318,00;;;
GT17-064;;1;7 108,00;;;
GT17-078;;1;6 792,00;;;
GT17-079;;1;5 686,00;;;
GT17-089;;1;7 582,00;;;
GT17-123;;1;8 213,00;;;
GT17-149;;3;7 266,00;;;
GT17-153B;;1;8 055,00;;;
GT17-161BG;;2;16 269,00;;;
GT17-201;;2;8 371,00;;;
GT18-006;;1;6 002,00;;;
GT18-012;;1;6 476,00;;;
GT18-013;;2;6 476,00;;;
GT20-001;;3;5 844,00;;;
GT20-008;;2;5 686,00;;;
GT20-014;;1;5 686,00;;;
GT20-017;;1;5 686,00;;;
GT20-021;;2;5 528,00;;;
GT20-027-W;;1;8 371,00;;;
GT20-029;Заменен на GT20-038;1;7 898,00;;;
GT20-031;;1;8 371,00;;;
GT20-095B;;1;9 951,00;;;
GT20-118BR;;2;8 213,00;;;
GT22-000;;1;6 792,00;;;
GT22-000-1;;1;7 108,00;;;
GT22-002;;2;6 792,00;;;
GT22-007;;1;6 634,00;;;
GT22-015;;3;6 476,00;;;
GT22-017;;3;6 792,00;;;
GT22-023;;2;8 055,00;;;
GT22-025;;1;8 055,00;;;
GT22-028;;1;5 370,00;;;
GT22-031;;1;6 476,00;;;
GT22-036;;1;6 950,00;;;
GT22-038;;1;7 266,00;;;
GT22-046;;1;8 213,00;;;
GT22-064;;2;8 371,00;;;
GT22-089;;2;7 582,00;;;
GT22-118R;;3;7 898,00;;;
GT22-119R;;1;7 898,00;;;
GT25-002;;2;6 476,00;;;
GT25-005;;3;5 370,00;;;
GT25-011;;2;8 845,00;;;
GT25-013;;2;6 160,00;;;
GT25-020;;2;11 846,00;;;
GT25-028;;2;6 476,00;;;
GT32-004;;2;8 213,00;;;
GT32-019-2;;2;9 793,00;;;
GT35-001;;1;9 319,00;;;
TN-GT37-026;753481-1 only;1;15 637,00;;;
GT42-002;;1;10 425,00;;;
GT45-019;;1;13 268,00;;;
GTA-000;;1;31 274,00;;;
GTA-006;;1;14 531,00;;;
GTA-007;;1;23 219,00;;;
GTA-015;;2;25 272,00;;;
HE4-048;;1;38 698,00;;;
HE5-007;;1;17 217,00;;;
HE5-008;;1;12 794,00;;;
HE5-009;;1;12 952,00;;;
HE5-019B;;1;17 690,00;;;
HX-001;;1;7 424,00;;;
HX-005;;2;7 108,00;;;
HX-007;;1;7 582,00;;;
HX-011;;1;7 740,00;;;
HX-053;;1;8 687,00;;;
HX-057;;2;7 266,00;;;
HX-068B;;2;15 321,00;;;
HX-179-C;;8;8 213,00;;;
HX5-000B;;2;13 584,00;;;
HX5-002;;1;11 688,00;;;
HX5-018B;;1;13 426,00;;;
HX5-126;;1;13 742,00;;;
HY55-001;;1;44 384,00;;;
HY55-008;;3;49 438,00;;;
HY55-015B;;1;45 490,00;;;
K03-003;;1;4 896,00;;;
K03-007;;1;5 844,00;;;
K03-014;;1;5 054,00;;;
K03-019;;1;4 896,00;;;
K03-023;;2;4 896,00;;;
K03-027;;1;5 212,00;;;
K03-049;;1;5 686,00;;;
K03-051B;;2;8 213,00;;;
K03-068B;;1;8 371,00;;;
K03-069B;;1;7 108,00;;;
K03-074;;2;6 476,00;;;
K03-084BR;;2;7 898,00;;;
K03-099B;;1;7 740,00;;;
K03-108B;;1;7 898,00;;;
K03-118;;1;6 002,00;;;
K03-155BR;;1;7 740,00;;;
K04-000;;1;5 212,00;;;
K04-004;;1;5 212,00;;;
K04-007;;1;6 002,00;;;
K04-011;;1;7 424,00;;;
K04-023B;;1;6 950,00;;;
K04-028;;2;7 898,00;;;
K04-048;;1;8 213,00;;;
K04-052B;;1;6 634,00;;;
K0CG-003BR;;1;7 740,00;;;
K0CG-007BR;K0CG-008BR;2;8 371,00;;;
K0CG-010BR;;1;7 740,00;;;
K27-001;;2;8 529,00;;;
K27-007;;1;8 687,00;;;
K27-013;;1;8 529,00;;;
K31-002;;1;13 268,00;;;
K31-003;;1;12 478,00;;;
KP31-000;;1;5 370,00;;;
KP35-016B;;3;6 950,00;;;
KP39-011;;2;6 002,00;;;
KP39-034;;2;6 160,00;;;
NGT-016BR;;1;6 792,00;;;
NGT-019B;;2;7 740,00;;;
R2S-008-H;;1;5 844,00;;;
R2S-008-L;;1;7 898,00;;;
R2S-015-H-C;;1;8 687,00;;;
